key_id,press_time,release_time
Key.shift,1789058380.906658,1789058381.3499544
Key.backspace,1789058382.0339153,1789058382.1277947
i,1789058382.2872715,1789058382.360685
l,1789058382.4968588,1789058382.5430276
l,1789058382.6129613,1789058382.6914635
Key.space,1789058382.839351,1789058382.896679
Key.shift,1789058382.8766656,1789058383.0708811
Key.space,1789058383.1581957,1789058383.2045898
c,1789058383.2139857,1789058383.2943213
o,1789058383.3059556,1789058383.3887045
l,1789058383.6688924,1789058383.730023
l,1789058383.7938719,1789058383.865686
a,1789058383.864642,1789058383.9693935
p,1789058384.2873788,1789058384.3750014
s,1789058384.4149423,1789058384.463229
e,1789058384.5951602,1789058384.659204
Key.space,1789058385.172274,1789058385.2639277
Key.shift,1789058385.3042586,1789058385.4484065
m,1789058385.5684087,1789058385.6386309
Key.space,1789058385.7574806,1789058385.8104882
s,1789058385.939428,1789058386.0233185
p,1789058386.037045,1789058386.1311123
t,1789058386.2016945,1789058386.2497046
t,1789058386.3552926,1789058386.4217649
Key.backspace,1789058386.7726216,1789058386.8285005
Key.backspace,1789058386.887727,1789058386.9601884
i,1789058387.3320725,1789058387.4100416
o,1789058387.3600793,1789058387.4109828
t,1789058387.508305,1789058387.5835223
Key.backspace,1789058387.857096,1789058387.9268422
Key.backspace,1789058387.9733841,1789058388.074727
t,1789058388.1414666,1789058388.219094
t,1789058388.2892988,1789058388.3630238
i,1789058388.3641045,1789058388.4490652
n,1789058388.5683517,1789058388.63403
g,1789058388.675959,1789058388.7279994
Key.space,1789058388.7737598,1789058388.8382103
t,1789058388.9521058,1789058389.0144272
j,1789058389.0740707,1789058389.1259537
h,1789058389.0421028,1789058389.1455183
Key.backspace,1789058389.6211889,1789058389.7211187
e,1789058389.7225733,1789058389.77544
s,1789058389.8836079,1789058389.933777
e,1789058390.041161,1789058390.1152842
Key.space,1789058390.109473,1789058390.185061
r,1789058390.1987743,1789058390.2840915
a,1789058390.2625413,1789058390.3744266
p,1789058390.3734155,1789058390.4406085
s,1789058390.476354,1789058390.5546694
Key.space,1789058390.6241772,1789058390.7023165
l,1789058391.0118644,1789058391.0881891
o,1789058391.1917489,1789058391.279605
n,1789058391.3350763,1789058391.4306421
g,1789058391.4306421,1789058391.474944
Key.space,1789058391.559018,1789058391.6327312
a,1789058391.633777,1789058391.7698503
s,1789058391.7196558,1789058391.816665
Key.space,1789058391.8233366,1789058391.8894353
y,1789058391.993589,1789058392.0786853
o,1789058392.0786853,1789058392.1680193
u,1789058392.1690624,1789058392.2461815
Key.space,1789058392.3805778,1789058392.4801338
f,1789058392.516191,1789058392.6147828
e,1789058392.6338806,1789058392.7424338
e,1789058392.822718,1789058392.917975
l,1789058392.97144,1789058393.0592866
Key.space,1789058393.185234,1789058393.245147
e,1789058393.2689483,1789058393.3832605
m,1789058393.5255325,1789058393.5997472
Key.space,1789058393.7180314,1789058393.8014512
t,1789058394.25251,1789058394.3262763
i,1789058394.372738,1789058394.447938
l,1789058394.5645103,1789058394.6280088
l,1789058394.6849618,1789058394.7611415
Key.space,1789058394.9135122,1789058394.9768424
t,1789058395.0414312,1789058395.1495626
h,1789058399.5805888,1789058399.6638684
e,1789058399.707982,1789058399.797302
Key.space,1789058399.8347218,1789058399.8791325
d,1789058399.9133003,1789058399.989765
a,1789058399.972897,1789058400.0435221
y,1789058400.137565,1789058400.241167
Key.space,1789058400.3048208,1789058400.3834558
t,1789058400.4093943,1789058400.5117614
h,1789058400.5214725,1789058400.6003842
a,1789058400.5993798,1789058400.7193434
t,1789058400.7078574,1789058400.7835386
Key.space,1789058400.8084643,1789058400.880129
Key.shift,1789058401.2759762,1789058401.4503329
Key.space,1789058401.598778,1789058401.6588569
d,1789058401.6649275,1789058401.711821
r,1789058401.8110054,1789058401.8674104
o,1789058401.8674104,1789058401.9331791
p,1789058402.0214891,1789058402.1086395
Key.space,1789058402.2248027,1789058402.2934062
y,1789058402.4169555,1789058402.4743824
o,1789058402.8019698,1789058402.884721
u,1789058403.0622942,1789058403.1009705
;,1789058403.333005,1789058403.407484
;,1789058403.4632995,1789058403.5469892
Key.space,1789058403.7015538,1789058403.7714517
Key.backspace,1789058404.0152347,1789058404.0634181
Key.backspace,1789058404.1300075,1789058404.1837056
Key.backspace,1789058404.2558851,1789058404.329754
;,1789058404.7065575,1789058404.7867799
Key.backspace,1789058405.1574292,1789058405.263099
[,1789058405.3296525,1789058405.3819222
',1789058405.3471498,1789058405.3839233
Key.backspace,1789058405.9838011,1789058406.0485456
Key.backspace,1789058406.1059663,1789058406.244129
',1789058407.0889206,1789058407.1724668
l,1789058407.3137302,1789058407.3874478
l,1789058407.4384584,1789058407.4952927
Key.space,1789058407.6183665,1789058407.6893492
n,1789058407.785822,1789058407.8787
e,1789058407.847783,1789058407.9970443
v,1789058407.9619243,1789058408.0603578
e,1789058408.0618446,1789058408.2169733
r,1789058408.7167058,1789058408.8135986
Key.space,1789058408.8485906,1789058408.9389884
s,1789058409.127667,1789058409.2236261
a,1789058409.2236261,1789058409.3173878
y,1789058409.3792589,1789058409.4955008
Key.space,1789058409.5492826,1789058409.6398273
t,1789058409.6703062,1789058409.751743
h,1789058409.7898784,1789058409.8607323
a,1789058409.8607323,1789058409.9805238
t,1789058409.9486778,1789058410.0198703
Key.space,1789058410.0363555,1789058410.1016915
I,1789058381.3100526,1789058410.2528577
Key.shift,1789058410.199419,1789058410.3204618
m,1789058410.462119,1789058410.5189176
",",1789058410.4631243,1789058410.519921
Key.backspace,1789058411.0513563,1789058411.1350567
Key.backspace,1789058411.2293637,1789058411.3712246
Key.backspace,1789058411.6825173,1789058411.7821941
Key.shift,1789058412.4294093,1789058412.6611686
i,1789058410.1963983,1789058412.6871092
m,1789058413.0664933,1789058413.1512914
Key.space,1789058413.558075,1789058413.6278226
n,1789058413.732016,1789058413.8206346
o,1789058413.849708,1789058413.9758303
t,1789058413.9771986,1789058414.0499737
Key.space,1789058414.0728657,1789058414.1297357
k,1789058414.2550926,1789058414.321415
i,1789058414.3936148,1789058414.467137
l,1789058414.5967307,1789058414.66096
l,1789058414.7189565,1789058414.801537
i,1789058414.9094315,1789058415.008317
n,1789058415.0042386,1789058415.0788705
g,1789058415.1402187,1789058415.215131
Key.space,1789058415.1945505,1789058415.2923555
e,1789058415.5924187,1789058415.6804469
m,1789058415.674754,1789058415.7401626
.,1789058415.93705,1789058416.0217817
Key.space,1789058416.2589848,1789058416.324966
Key.shift,1789058416.37484,1789058417.3006191
Key.shift,1789058429.4049592,1789058429.9717934
u,1789058430.1883748,1789058430.327391
z,1789058430.364303,1789058430.476182
Key.space,1789058430.5792563,1789058430.6636531
w,1789058430.7709978,1789058430.8970466
h,1789058430.9001665,1789058430.995553
e,1789058431.242939,1789058431.3385732
