key_id,press_time,release_time
n,1788966849.534782,1788966849.6148117
g,1788966849.5997984,1788966849.7157743
Key.space,1788966853.503918,1788966853.619563
Key.shift,1788966853.7261827,1788966854.0845633
Key.space,1788966854.0875676,1788966854.1878998
c,1788966854.720612,1788966854.8156447
r,1788966854.9855,1788966855.0768216
Key.backspace,1788966855.214341,1788966855.2927809
Key.backspace,1788966855.3606453,1788966855.4434786
l,1788966855.65556,1788966855.7477996
i,1788966855.859053,1788966855.9310992
s,1788966855.9906244,1788966856.0855806
t,1788966856.1973772,1788966856.263976
e,1788966856.9249134,1788966857.0577393
n,1788966857.0999224,1788966857.1924374
r,1788966857.365209,1788966857.4566505
Key.backspace,1788966857.6714375,1788966857.751207
e,1788966857.685106,1788966857.775507
r,1788966857.8379333,1788966857.967331
Key.space,1788966857.9327235,1788966858.0392265
o,1788966858.534673,1788966858.6092541
b,1788966859.2525148,1788966859.3135998
j,1788966859.4307942,1788966859.5100374
e,1788966859.5005395,1788966859.574783
c,1788966859.6950893,1788966859.8062885
t,1788966859.8175385,1788966859.8875377
Key.space,1788966860.9296725,1788966861.0448916
c,1788966861.3188019,1788966861.4151804
r,1788966861.5565047,1788966861.6411319
e,1788966861.7546916,1788966861.884457
a,1788966861.8727975,1788966861.9637556
t,1788966862.0587301,1788966862.1571212
e,1788966862.2245343,1788966862.3029265
d,1788966862.4209242,1788966862.537739
Key.space,1788966862.5886605,1788966862.6925216
t,1788966862.7639284,1788966862.8627295
h,1788966862.8457098,1788966862.9326952
a,1788966862.9149532,1788966863.0308192
t,1788966863.0207372,1788966863.1327486
Key.space,1788966863.0938275,1788966863.2290564
w,1788966863.2370696,1788966863.366924
i,1788966863.3043885,1788966863.3729324
l,1788966863.6111095,1788966863.697697
Key.space,1788966863.7691762,1788966863.8305333
l,1788966863.947909,1788966864.015943
Key.backspace,1788966864.1910474,1788966864.2526321
Key.backspace,1788966864.332871,1788966864.4102733
l,1788966864.5017374,1788966864.600557
Key.space,1788966864.6226048,1788966864.74526
w,1788966864.730231,1788966864.851816
o,1788966864.8572738,1788966864.9307694
r,1788966864.9818788,1788966865.089301
k,1788966865.067955,1788966865.1520202
Key.space,1788966865.2089648,1788966865.3258708
i,1788966865.2875044,1788966865.3538945
n,1788966865.462322,1788966865.5397828
Key.space,1788966865.520997,1788966865.6438797
t,1788966865.5692308,1788966865.707017
h,1788966865.7048059,1788966865.7749486
e,1788966865.8087804,1788966865.9156263
Key.space,1788966865.8712368,1788966865.9721162
b,1788966865.9653096,1788966866.0611544
a,1788966866.0516324,1788966866.1840231
c,1788966866.2103753,1788966866.3221679
k,1788966866.343462,1788966866.4315314
g,1788966866.880652,1788966866.9492352
r,1788966867.0483844,1788966867.1681197
o,1788966867.0831983,1788966867.1865335
u,1788966867.280247,1788966867.3446093
n,1788966867.455521,1788966867.5347552
d,1788966867.5277648,1788966867.6313426
.,1788966868.4300795,1788966868.5032012
Key.enter,1788966869.4513967,1788966869.5238714
Key.backspace,1788966871.1787071,1788966871.2842064
Key.enter,1788966871.6047509,1788966871.6529217
#,1788966802.9218588,1788966872.0493345
